Time,Time Code,Country Name,Country Code,Net migration [SM.POP.NETM],"Population, total [SP.POP.TOTL]",GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Human capital index (HCI) (scale 0-1) [HD.HCI.OVRL]
2012,YR2012,"Congo, Dem. Rep.",COD,15060,69020749,432.6784074,57.914,..
2012,YR2012,"Congo, Rep.",COG,-60000,4510197,2579.698979,61.423,..
2012,YR2012,Costa Rica,CRI,19658,4688003,10945.03501,79.074,..
2012,YR2012,Cote d'Ivoire,CIV,-80000,21547188,1637.392804,54.271,..
2012,YR2012,Croatia,HRV,-38493,4267558,11546.70174,76.92439024,..
2012,YR2012,Cuba,CUB,-80000,11257112,7138.368173,78.446,..
2012,YR2012,Curacao,CUW,6817,152088,20356.1818,77.52439024,..
2012,YR2012,Cyprus,CYP,22509,1135046,24216.5293,79.812,..
2012,YR2012,Czechia,CZE,59997,10510785,16606.99254,78.07560976,..
2012,YR2012,Denmark,DNK,106841,5591572,51567.04015,80.05121951,..
2012,YR2012,Djibouti,DJI,6002,868136,..,61.395,..
2012,YR2012,Dominica,DMA,..,70954,7554.954321,..,..
2012,YR2012,Dominican Republic,DOM,-153000,9930916,5969.352761,72.523,..
2012,YR2012,Ecuador,ECU,-38001,15474099,5885.099861,75.495,..
2012,YR2012,"Egypt, Arab Rep.",EGY,-280944,86422240,3472.148298,70.736,..
2012,YR2012,El Salvador,SLV,-240415,6237922,3528.867124,71.692,..
2012,YR2012,Equatorial Guinea,GNQ,89999,1031191,14614.17693,56.288,..
2012,YR2012,Eritrea,ERI,-246000,..,..,63.238,..
2012,YR2012,Estonia,EST,-10516,1322696,16257.4722,76.32682927,..
2012,YR2012,Ethiopia,ETH,399997,92726982,517.513461,63.281,..
2012,YR2012,Faroe Islands,FRO,..,47843,..,81.1902439,..
2012,YR2012,Fiji,FJI,-51950,865065,4683.226259,66.859,..
2012,YR2012,Finland,FIN,81416,5413971,43637.24867,80.62682927,..
2012,YR2012,France,FRA,423831,65659814,36183.48799,81.96829268,..
2012,YR2012,French Polynesia,PYF,-8016,268995,..,76.074,..
2012,YR2012,Gabon,GAB,100317,1749677,7181.21372,62.924,..
2012,YR2012,"Gambia, The",GMB,-15436,1905020,685.464249,60.178,..
2012,YR2012,Georgia,GEO,-95340,3728874,3597.203764,72.097,..
2012,YR2012,Germany,DEU,1938576,80425823,40069.35396,80.53902439,..
2012,YR2012,Ghana,GHA,-50000,25996454,1686.069544,61.72,..
2012,YR2012,Gibraltar,GIB,..,33653,..,..,..
2012,YR2012,Greece,GRC,-161799,11045011,18123.6711,80.63414634,..
2012,YR2012,Greenland,GRL,..,56810,43655.74589,70.55,..
2012,YR2012,Grenada,GRD,-1000,107452,7934.041421,72.669,..
2012,YR2012,Guam,GUM,-7594,159990,34728.89371,78.408,..
2012,YR2012,Guatemala,GTM,-50131,14781942,3731.675784,72.236,..
2012,YR2012,Guinea,GIN,-293749,10652032,737.7130522,57.905,..
2012,YR2012,Guinea-Bissau,GNB,-7005,1604981,590.2660564,55.645,..
2012,YR2012,Guyana,GUY,-34999,755388,5338.712684,68.575,..
2012,YR2012,Haiti,HTI,-150000,10250922,1329.465754,61.26,..
2012,YR2012,Honduras,HND,-30000,8640692,2207.230214,73.814,..
2012,YR2012,"Hong Kong SAR, China",HKG,74892,7150100,39887.59807,83.4804878,..
2012,YR2012,Hungary,HUN,29999,9920362,11470.40343,75.06341463,..
2012,YR2012,Iceland,ISL,-2163,320716,49191.57442,82.91707317,..
2012,YR2012,India,IND,-2350075,1265780243,1346.67591,67.545,..
2012,YR2012,Indonesia,IDN,-454447,248451714,2980.61011,69.866,..
2012,YR2012,"Iran, Islamic Rep.",IRN,-502345,75539881,5302.461469,74.776,..
2012,YR2012,Iraq,IRQ,1303607,31890012,4630.736522,69.148,..
